match_id,year,date,stage,group_name,home_team,away_team,home_team_norm,away_team_norm,home_goals,away_goals,home_xg,away_xg,attendance,stadium,city,host_country,referee,win_conditions,host_team,extra_time,penalty_shootout,score_penalties,home_penalties,away_penalties,result,notes,dup_key,tournament_id_x,tournament_name_x,d7_match_id_x,match_name_x,group_name_d7new,group_stage_x,knockout_stage_x,replayed_x,replay_x,match_time_x,stadium_id_x,stadium_name_d7_x,city_name_d7_x,host_country_d7_x,home_team_id_d7_x,home_team_code_x,away_team_id_d7_x,away_team_code_x,score_x,home_score_margin_x,away_score_margin_x,extra_time_d7new,penalty_shootout_d7new,score_penalties_d7new,home_penalties_d7new,away_penalties_d7new,result_d7new,home_team_win_x,away_team_win_x,draw_x,tournament_id_y,tournament_name_y,d7_match_id_y,match_name_y,group_stage_y,knockout_stage_y,replayed_y,replay_y,match_time_y,stadium_id_y,stadium_name_d7_y,city_name_d7_y,host_country_d7_y,home_team_id_d7_y,home_team_code_y,away_team_id_d7_y,away_team_code_y,score_y,home_score_margin_y,away_score_margin_y,home_team_win_y,away_team_win_y,draw_y,tournament_id,tournament_name,d7_match_id,match_name,group_stage,knockout_stage,replayed,replay,match_time,stadium_id,home_team_code,away_team_code,score,home_score_margin,away_score_margin,home_team_win,away_team_win,draw
788.0,2014,2014-06-17 00:00:00+00:00,Group stage,Group A,Brazil,Mexico,brazil,mexico,0.0,0.0,,,60342.0,Estádio Castelão,Fortaleza,Brazil,Cüneyt Çakιr,,1.0,0.0,0.0,0-0,0.0,0.0,draw,,2014|2014-06-17 00:00:00+00:00|brazil|mexico,WC-2014,2014 FIFA World Cup,M-2014-16,Brazil v Mexico,Group A,1.0,0.0,0.0,0.0,16:00,S-013,Estádio Castelão,Fortaleza,Brazil,T-09,BRA,T-44,MEX,00,0.0,0.0,0.0,0.0,0-0,0.0,0.0,draw,0.0,0.0,1.0,WC-2014,2014 FIFA World Cup,M-2014-16,Brazil v Mexico,1.0,0.0,0.0,0.0,16:00,S-013,Estádio Castelão,Fortaleza,Brazil,T-09,BRA,T-44,MEX,00,0.0,0.0,0.0,0.0,1.0,WC-2014,2014 FIFA World Cup,M-2014-16,Brazil v Mexico,1.0,0.0,0.0,0.0,16:00,S-013,BRA,MEX,00,0.0,0.0,0.0,0.0,1.0
789.0,2014,2014-06-17 00:00:00+00:00,Group stage,Group H,Russia,South Korea,russia,south korea,1.0,1.0,,,37603.0,Arena Pantanal,Cuiabá,Brazil,Néstor Pitana,,0.0,0.0,0.0,0-0,0.0,0.0,draw,,2014|2014-06-17 00:00:00+00:00|russia|south korea,WC-2014,2014 FIFA World Cup,M-2014-17,Russia v South Korea,Group H,1.0,0.0,0.0,0.0,18:00,S-010,Arena Pantanal,Cuiabá,Brazil,T-60,RUS,T-69,KOR,11,0.0,0.0,0.0,0.0,0-0,0.0,0.0,draw,0.0,0.0,1.0,WC-2014,2014 FIFA World Cup,M-2014-17,Russia v South Korea,1.0,0.0,0.0,0.0,18:00,S-010,Arena Pantanal,Cuiabá,Brazil,T-60,RUS,T-69,KOR,11,0.0,0.0,0.0,0.0,1.0,WC-2014,2014 FIFA World Cup,M-2014-17,Russia v South Korea,1.0,0.0,0.0,0.0,18:00,S-010,RUS,KOR,11,0.0,0.0,0.0,0.0,1.0
790.0,2014,2014-06-18 00:00:00+00:00,Group stage,Group B,Australia,Netherlands,australia,netherlands,2.0,3.0,,,42877.0,Estádio Beira-Rio,Porto Alegre,Brazil,Djamel Haïmoudi,,0.0,0.0,0.0,0-0,0.0,0.0,away team win,,2014|2014-06-18 00:00:00+00:00|australia|netherlands,WC-2014,2014 FIFA World Cup,M-2014-18,Australia v Netherlands,Group B,1.0,0.0,0.0,0.0,13:00,S-016,Estádio Beira-Rio,Porto Alegre,Brazil,T-04,AUS,T-46,NLD,23,-1.0,1.0,0.0,0.0,0-0,0.0,0.0,away team win,0.0,1.0,0.0,WC-2014,2014 FIFA World Cup,M-2014-18,Australia v Netherlands,1.0,0.0,0.0,0.0,13:00,S-016,Estádio Beira-Rio,Porto Alegre,Brazil,T-04,AUS,T-46,NLD,23,-1.0,1.0,0.0,1.0,0.0,WC-2014,2014 FIFA World Cup,M-2014-18,Australia v Netherlands,1.0,0.0,0.0,0.0,13:00,S-016,AUS,NLD,23,-1.0,1.0,0.0,1.0,0.0
792.0,2014,2014-06-18 00:00:00+00:00,Group stage,Group A,Cameroon,Croatia,cameroon,croatia,0.0,4.0,,,39982.0,Arena da Amazônia,Manaus,Brazil,Pedro Proença,,0.0,0.0,0.0,0-0,0.0,0.0,away team win,,2014|2014-06-18 00:00:00+00:00|cameroon|croatia,WC-2014,2014 FIFA World Cup,M-2014-20,Cameroon v Croatia,Group A,1.0,0.0,0.0,0.0,18:00,S-014,Arena da Amazônia,Manaus,Brazil,T-11,CMR,T-17,HRV,04,-4.0,4.0,0.0,0.0,0-0,0.0,0.0,away team win,0.0,1.0,0.0,WC-2014,2014 FIFA World Cup,M-2014-20,Cameroon v Croatia,1.0,0.0,0.0,0.0,18:00,S-014,Arena da Amazônia,Manaus,Brazil,T-11,CMR,T-17,HRV,04,-4.0,4.0,0.0,1.0,0.0,WC-2014,2014 FIFA World Cup,M-2014-20,Cameroon v Croatia,1.0,0.0,0.0,0.0,18:00,S-014,CMR,HRV,04,-4.0,4.0,0.0,1.0,0.0
791.0,2014,2014-06-18 00:00:00+00:00,Group stage,Group B,Spain,Chile,spain,chile,0.0,2.0,,,74101.0,Estádio do Maracanã,Rio de Janeiro,Brazil,Mark Geiger,,0.0,0.0,0.0,0-0,0.0,0.0,away team win,,2014|2014-06-18 00:00:00+00:00|spain|chile,WC-2014,2014 FIFA World Cup,M-2014-19,Spain v Chile,Group B,1.0,0.0,0.0,0.0,16:00,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,T-71,ESP,T-13,CHL,02,-2.0,2.0,0.0,0.0,0-0,0.0,0.0,away team win,0.0,1.0,0.0,WC-2014,2014 FIFA World Cup,M-2014-19,Spain v Chile,1.0,0.0,0.0,0.0,16:00,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,T-71,ESP,T-13,CHL,02,-2.0,2.0,0.0,1.0,0.0,WC-2014,2014 FIFA World Cup,M-2014-19,Spain v Chile,1.0,0.0,0.0,0.0,16:00,S-020,ESP,CHL,02,-2.0,2.0,0.0,1.0,0.0
793.0,2014,2014-06-19 00:00:00+00:00,Group stage,Group C,Colombia,Ivory Coast,colombia,ivory coast,2.0,1.0,,,,Estádio Nacional,Brasília,Brazil,,,0.0,0.0,0.0,0-0,0.0,0.0,home team win,,2014|2014-06-19 00:00:00+00:00|colombia|ivory coast,WC-2014,2014 FIFA World Cup,M-2014-21,Colombia v Ivory Coast,Group C,1.0,0.0,0.0,0.0,13:00,S-009,Estádio Nacional,Brasília,Brazil,T-15,COL,T-40,CIV,21,1.0,-1.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,WC-2014,2014 FIFA World Cup,M-2014-21,Colombia v Ivory Coast,1.0,0.0,0.0,0.0,13:00,S-009,Estádio Nacional,Brasília,Brazil,T-15,COL,T-40,CIV,21,1.0,-1.0,1.0,0.0,0.0,WC-2014,2014 FIFA World Cup,M-2014-21,Colombia v Ivory Coast,1.0,0.0,0.0,0.0,13:00,S-009,COL,CIV,21,1.0,-1.0,1.0,0.0,0.0
795.0,2014,2014-06-19 00:00:00+00:00,Group stage,Group C,Japan,Greece,japan,greece,0.0,0.0,,,39485.0,Arena das Dunas,Natal,Brazil,Joel Aguilar,,0.0,0.0,0.0,0-0,0.0,0.0,draw,,2014|2014-06-19 00:00:00+00:00|japan|greece,WC-2014,2014 FIFA World Cup,M-2014-23,Japan v Greece,Group C,1.0,0.0,0.0,0.0,19:00,S-015,Arena das Dunas,Natal,Brazil,T-42,JPN,T-31,GRC,00,0.0,0.0,0.0,0.0,0-0,0.0,0.0,draw,0.0,0.0,1.0,WC-2014,2014 FIFA World Cup,M-2014-23,Japan v Greece,1.0,0.0,0.0,0.0,19:00,S-015,Arena das Dunas,Natal,Brazil,T-42,JPN,T-31,GRC,00,0.0,0.0,0.0,0.0,1.0,WC-2014,2014 FIFA World Cup,M-2014-23,Japan v Greece,1.0,0.0,0.0,0.0,19:00,S-015,JPN,GRC,00,0.0,0.0,0.0,0.0,1.0
794.0,2014,2014-06-19 00:00:00+00:00,Group stage,Group D,Uruguay,England,uruguay,england,2.0,1.0,,,62575.0,Arena Corinthians,São Paulo,Brazil,Carlos Velasco,,0.0,0.0,0.0,0-0,0.0,0.0,home team win,,2014|2014-06-19 00:00:00+00:00|uruguay|england,WC-2014,2014 FIFA World Cup,M-2014-22,Uruguay v England,Group D,1.0,0.0,0.0,0.0,16:00,S-022,Arena Corinthians,São Paulo,Brazil,T-81,URY,T-27,ENG,21,1.0,-1.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,WC-2014,2014 FIFA World Cup,M-2014-22,Uruguay v England,1.0,0.0,0.0,0.0,16:00,S-022,Arena Corinthians,São Paulo,Brazil,T-81,URY,T-27,ENG,21,1.0,-1.0,1.0,0.0,0.0,WC-2014,2014 FIFA World Cup,M-2014-22,Uruguay v England,1.0,0.0,0.0,0.0,16:00,S-022,URY,ENG,21,1.0,-1.0,1.0,0.0,0.0
798.0,2014,2014-06-20 00:00:00+00:00,Group stage,Group E,Honduras,Ecuador,honduras,ecuador,1.0,2.0,,,39224.0,Arena da Baixada,Curitiba,Brazil,Benjamin Williams,,0.0,0.0,0.0,0-0,0.0,0.0,away team win,,2014|2014-06-20 00:00:00+00:00|honduras|ecuador,WC-2014,2014 FIFA World Cup,M-2014-26,Honduras v Ecuador,Group E,1.0,0.0,0.0,0.0,19:00,S-011,Arena da Baixada,Curitiba,Brazil,T-33,HND,T-24,ECU,12,-1.0,1.0,0.0,0.0,0-0,0.0,0.0,away team win,0.0,1.0,0.0,WC-2014,2014 FIFA World Cup,M-2014-26,Honduras v Ecuador,1.0,0.0,0.0,0.0,19:00,S-011,Arena da Baixada,Curitiba,Brazil,T-33,HND,T-24,ECU,12,-1.0,1.0,0.0,1.0,0.0,WC-2014,2014 FIFA World Cup,M-2014-26,Honduras v Ecuador,1.0,0.0,0.0,0.0,19:00,S-011,HND,ECU,12,-1.0,1.0,0.0,1.0,0.0
796.0,2014,2014-06-20 00:00:00+00:00,Group stage,Group D,Italy,Costa Rica,italy,costa rica,0.0,1.0,,,40285.0,Arena Pernambuco,Recife,Brazil,Enrique Osses,,0.0,0.0,0.0,0-0,0.0,0.0,away team win,,2014|2014-06-20 00:00:00+00:00|italy|costa rica,WC-2014,2014 FIFA World Cup,M-2014-24,Italy v Costa Rica,Group D,1.0,0.0,0.0,0.0,13:00,S-018,Arena Pernambuco,Recife,Brazil,T-39,ITA,T-16,CRI,01,-1.0,1.0,0.0,0.0,0-0,0.0,0.0,away team win,0.0,1.0,0.0,WC-2014,2014 FIFA World Cup,M-2014-24,Italy v Costa Rica,1.0,0.0,0.0,0.0,13:00,S-018,Arena Pernambuco,Recife,Brazil,T-39,ITA,T-16,CRI,01,-1.0,1.0,0.0,1.0,0.0,WC-2014,2014 FIFA World Cup,M-2014-24,Italy v Costa Rica,1.0,0.0,0.0,0.0,13:00,S-018,ITA,CRI,01,-1.0,1.0,0.0,1.0,0.0
797.0,2014,2014-06-20 00:00:00+00:00,Group stage,Group E,Switzerland,France,switzerland,france,2.0,5.0,,,51003.0,Arena Fonte Nova,Salvador,Brazil,Björn Kuipers,,0.0,0.0,0.0,0-0,0.0,0.0,away team win,,2014|2014-06-20 00:00:00+00:00|switzerland|france,WC-2014,2014 FIFA World Cup,M-2014-25,Switzerland v France,Group E,1.0,0.0,0.0,0.0,16:00,S-021,Arena Fonte Nova,Salvador,Brazil,T-73,CHE,T-28,FRA,25,-3.0,3.0,0.0,0.0,0-0,0.0,0.0,away team win,0.0,1.0,0.0,WC-2014,2014 FIFA World Cup,M-2014-25,Switzerland v France,1.0,0.0,0.0,0.0,16:00,S-021,Arena Fonte Nova,Salvador,Brazil,T-73,CHE,T-28,FRA,25,-3.0,3.0,0.0,1.0,0.0,WC-2014,2014 FIFA World Cup,M-2014-25,Switzerland v France,1.0,0.0,0.0,0.0,16:00,S-021,CHE,FRA,25,-3.0,3.0,0.0,1.0,0.0
799.0,2014,2014-06-21 00:00:00+00:00,Group stage,Group F,Argentina,Iran,argentina,iran,1.0,0.0,,,,Estádio Mineirão,Belo Horizonte,Brazil,,,0.0,0.0,0.0,0-0,0.0,0.0,home team win,,2014|2014-06-21 00:00:00+00:00|argentina|iran,WC-2014,2014 FIFA World Cup,M-2014-27,Argentina v Iran,Group F,1.0,0.0,0.0,0.0,13:00,S-008,Estádio Mineirão,Belo Horizonte,Brazil,T-03,ARG,T-36,IRN,10,1.0,-1.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,WC-2014,2014 FIFA World Cup,M-2014-27,Argentina v Iran,1.0,0.0,0.0,0.0,13:00,S-008,Estádio Mineirão,Belo Horizonte,Brazil,T-03,ARG,T-36,IRN,10,1.0,-1.0,1.0,0.0,0.0,WC-2014,2014 FIFA World Cup,M-2014-27,Argentina v Iran,1.0,0.0,0.0,0.0,13:00,S-008,ARG,IRN,10,1.0,-1.0,1.0,0.0,0.0
800.0,2014,2014-06-21 00:00:00+00:00,Group stage,Group G,Germany,Ghana,germany,ghana,2.0,2.0,,,59621.0,Estádio Castelão,Fortaleza,Brazil,Sandro Ricci,,0.0,0.0,0.0,0-0,0.0,0.0,draw,,2014|2014-06-21 00:00:00+00:00|germany|ghana,WC-2014,2014 FIFA World Cup,M-2014-28,Germany v Ghana,Group G,1.0,0.0,0.0,0.0,16:00,S-013,Estádio Castelão,Fortaleza,Brazil,T-29,DEU,T-30,GHA,22,0.0,0.0,0.0,0.0,0-0,0.0,0.0,draw,0.0,0.0,1.0,WC-2014,2014 FIFA World Cup,M-2014-28,Germany v Ghana,1.0,0.0,0.0,0.0,16:00,S-013,Estádio Castelão,Fortaleza,Brazil,T-29,DEU,T-30,GHA,22,0.0,0.0,0.0,0.0,1.0,WC-2014,2014 FIFA World Cup,M-2014-28,Germany v Ghana,1.0,0.0,0.0,0.0,16:00,S-013,DEU,GHA,22,0.0,0.0,0.0,0.0,1.0
801.0,2014,2014-06-21 00:00:00+00:00,Group stage,Group F,Nigeria,Bosnia and Herzegovina,nigeria,bosnia and herzegovina,1.0,0.0,,,40499.0,Arena Pantanal,Cuiabá,Brazil,Peter O'Leary,,0.0,0.0,0.0,0-0,0.0,0.0,home team win,,2014|2014-06-21 00:00:00+00:00|nigeria|bosnia and herzegovina,WC-2014,2014 FIFA World Cup,M-2014-29,Nigeria v Bosnia and Herzegovina,Group F,1.0,0.0,0.0,0.0,18:00,S-010,Arena Pantanal,Cuiabá,Brazil,T-48,NGA,T-08,BIH,10,1.0,-1.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,WC-2014,2014 FIFA World Cup,M-2014-29,Nigeria v Bosnia and Herzegovina,1.0,0.0,0.0,0.0,18:00,S-010,Arena Pantanal,Cuiabá,Brazil,T-48,NGA,T-08,BIH,10,1.0,-1.0,1.0,0.0,0.0,WC-2014,2014 FIFA World Cup,M-2014-29,Nigeria v Bosnia and Herzegovina,1.0,0.0,0.0,0.0,18:00,S-010,NGA,BIH,10,1.0,-1.0,1.0,0.0,0.0
