year,date,tournament_id,tournament_name,match_name,stage,home_team,away_team,home_team_code,away_team_code,home_goals,away_goals,score,result,home_team_win,away_team_win,draw,extra_time,penalty_shootout,score_penalties,stadium,stadium_id,stadium_name,city,host_country,host_team,attendance,match_time,referee,notes
1938,1938-06-14,WC-1938,1938 FIFA World Cup,Brazil v Czechoslovakia,Quarter-finals,Brazil,Czechoslovakia,BRA,CSK,2,1,2-1,home team win,1,0,no,no,no,0-0,Stade du Parc Lescure,S-037,Stade du Parc Lescure,Bordeaux,France,0.0,18141,18:00,Georges Capdeville,
1938,1938-06-16,WC-1938,1938 FIFA World Cup,Hungary v Sweden,Semi-finals,Hungary,Sweden,HUN,SWE,5,1,5-1,home team win,1,0,no,no,no,0-0,Parc des Princes,S-045,Parc des Princes,Paris,France,0.0,20000,18:00,Lucien Leclercq,
1938,1938-06-16,WC-1938,1938 FIFA World Cup,Italy v Brazil,Semi-finals,Italy,Brazil,ITA,BRA,2,1,2-1,home team win,1,0,no,no,no,0-0,Stade Vélodrome,S-042,Stade Vélodrome,Marseille,France,0.0,33000,18:00,Hans Wuethrich,
1938,1938-06-19,WC-1938,1938 FIFA World Cup,Brazil v Sweden,Third place,Brazil,Sweden,BRA,SWE,4,2,4-2,home team win,1,0,no,no,no,0-0,Stade du Parc Lescure,S-037,Stade du Parc Lescure,Bordeaux,France,0.0,12000,17:00,Jean Langenus,
1938,1938-06-19,WC-1938,1938 FIFA World Cup,Italy v Hungary,Final,Italy,Hungary,ITA,HUN,4,2,4-2,home team win,1,0,no,no,no,0-0,Stade Olympique de Colombes,S-046,Stade Olympique de Colombes,Paris,France,0.0,45000,17:00,Georges Capdeville,
1950,1950-06-24,WC-1950,1950 FIFA World Cup,Brazil v Mexico,First round,Brazil,Mexico,BRA,MEX,4,0,4-0,home team win,1,0,no,no,no,0-0,Estádio do Maracanã,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,1.0,81649,15:00,George Reader,
1950,1950-06-25,WC-1950,1950 FIFA World Cup,England v Chile,First round,England,Chile,ENG,CHL,2,0,2-0,home team win,1,0,no,no,no,0-0,Estádio do Maracanã,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,0.0,29703,15:00,Karel Van Der Meer,
1950,1950-06-25,WC-1950,1950 FIFA World Cup,Spain v United States,First round,Spain,United States,ESP,USA,3,1,3-1,home team win,1,0,no,no,no,0-0,Estádio Vila Capanema,S-012,Estádio Vila Capanema,Curitiba,Brazil,0.0,9511,15:00,Mario Viana,
1950,1950-06-25,WC-1950,1950 FIFA World Cup,Sweden v Italy,First round,Sweden,Italy,SWE,ITA,3,2,3-2,home team win,1,0,no,no,no,0-0,Estádio do Pacaembu,S-023,Estádio do Pacaembu,São Paulo,Brazil,0.0,36502,15:00,Jean Lutz,
1950,1950-06-25,WC-1950,1950 FIFA World Cup,Yugoslavia v Switzerland,First round,Yugoslavia,Switzerland,YUG,CHE,3,0,3-0,home team win,1,0,no,no,no,0-0,Estádio Independência,S-007,Estádio Independência,Belo Horizonte,Brazil,0.0,7336,15:00,Giovanni Galeati,
1950,1950-06-28,WC-1950,1950 FIFA World Cup,Brazil v Switzerland,First round,Brazil,Switzerland,BRA,CHE,2,2,2-2,draw,0,0,yes,no,no,0-0,Estádio do Pacaembu,S-023,Estádio do Pacaembu,São Paulo,Brazil,1.0,42032,15:00,Ramon Azon Roma,
1950,1950-06-28,WC-1950,1950 FIFA World Cup,Yugoslavia v Mexico,First round,Yugoslavia,Mexico,YUG,MEX,4,1,4-1,home team win,1,0,no,no,no,0-0,Estádio dos Eucaliptos,S-017,Estádio dos Eucaliptos,Porto Alegre,Brazil,0.0,11078,15:00,Reginald Leafe,
